# Trust Score Evolution for cifar10_complete_gradient_n10_trust
# Format: Round,Node,Neighbor,Trust_Score
# Generated at: Tue Jul 15 05:11:48 UTC 2025

9,8,1,1.0
9,8,2,1.0
9,8,3,1.0
9,8,4,1.0
9,8,5,1.0
9,8,6,1.0
9,8,7,1.0
9,8,9,1.0
9,9,0,1.0
9,9,1,1.0
9,9,2,1.0
9,9,3,1.0
9,9,4,1.0
9,9,5,1.0
9,9,6,1.0
9,9,7,0.785492724364191
9,9,8,1.0
10,2,0,1.0
10,2,1,1.0
10,2,3,1.0
10,2,4,1.0
10,2,5,1.0
10,2,6,1.0
10,2,7,0.7835507795818251
10,2,8,1.0
10,2,9,1.0
10,3,0,1.0
10,3,1,1.0
10,3,2,1.0
10,3,4,1.0
10,3,5,1.0
10,3,6,1.0
10,3,7,0.7887154930945026
10,3,8,1.0
10,3,9,1.0
10,5,0,0.020001535828507312
10,5,1,1.0
10,5,2,1.0
10,5,3,1.0
10,5,4,1.0
10,5,6,1.0
10,5,7,1.0
10,5,8,1.0
10,5,9,1.0
10,6,0,1.0
10,6,1,1.0
10,6,2,1.0
10,6,3,1.0
10,6,4,1.0
10,6,5,1.0
10,6,7,1.0
10,6,8,1.0
10,6,9,1.0
10,7,0,1.0
10,7,1,1.0
10,7,2,1.0
10,7,3,1.0
10,7,4,1.0
10,7,5,1.0
10,7,6,1.0
10,7,8,1.0
10,7,9,1.0
10,8,0,1.0
10,8,1,1.0
10,8,2,1.0
10,8,3,1.0
10,8,4,1.0
10,8,5,1.0
10,8,6,1.0
10,8,7,1.0
10,8,9,1.0
10,9,0,1.0
10,9,1,1.0
10,9,2,1.0
10,9,3,1.0
10,9,4,1.0
10,9,5,1.0
10,9,6,1.0
10,9,7,0.15329121559149764
10,9,8,1.0
11,2,0,1.0
11,2,1,1.0
11,2,3,1.0
11,2,4,1.0
11,2,5,1.0
11,2,6,1.0
11,2,7,0.15362210884192187
11,2,8,1.0
11,2,9,1.0
11,3,0,1.0
11,3,1,1.0
11,3,2,1.0
11,3,4,1.0
11,3,5,1.0
11,3,6,1.0
11,3,7,0.15472110555715068
11,3,8,1.0
11,3,9,1.0
11,5,0,0.039800510187513835
11,5,1,1.0
11,5,2,1.0
11,5,3,1.0
11,5,4,1.0
11,5,6,1.0
11,5,7,1.0
11,5,8,1.0
11,5,9,1.0
11,6,0,1.0
11,6,1,1.0
11,6,2,1.0
11,6,3,1.0
11,6,4,1.0
11,6,5,1.0
11,6,7,1.0
11,6,8,1.0
11,6,9,1.0
11,7,0,1.0
11,7,1,1.0
11,7,2,1.0
11,7,3,1.0
11,7,4,1.0
11,7,5,1.0
11,7,6,1.0
11,7,8,1.0
11,7,9,1.0
11,8,0,1.0
11,8,1,1.0
11,8,2,1.0
11,8,3,1.0
11,8,4,1.0
11,8,5,1.0
11,8,6,1.0
11,8,7,1.0
11,8,9,1.0
11,9,0,1.0
11,9,1,1.0
11,9,2,1.0
11,9,3,1.0
11,9,4,1.0
11,9,5,1.0
11,9,6,1.0
11,9,7,0.015329121559149764
11,9,8,1.0
12,2,0,1.0
12,2,1,1.0
12,2,3,1.0
12,2,4,1.0
12,2,5,1.0
12,2,6,1.0
12,2,7,0.17202186852685342
12,2,8,1.0
12,2,9,1.0
12,3,0,1.0
12,3,1,1.0
12,3,2,1.0
12,3,4,1.0
12,3,5,1.0
12,3,6,1.0
12,3,7,0.17310891558926544
12,3,8,1.0
12,3,9,1.0
12,5,0,0.059398464058390124
12,5,1,1.0
12,5,2,1.0
12,5,3,1.0
12,5,4,1.0
12,5,6,1.0
12,5,7,1.0
12,5,8,1.0
12,5,9,1.0
12,6,0,1.0
12,6,1,1.0
12,6,2,1.0
12,6,3,1.0
12,6,4,1.0
12,6,5,1.0
12,6,7,1.0
12,6,8,1.0
12,6,9,1.0
12,7,0,1.0
12,7,1,1.0
12,7,2,1.0
12,7,3,1.0
12,7,4,1.0
12,7,5,1.0
12,7,6,1.0
12,7,8,1.0
12,7,9,1.0
12,8,0,1.0
12,8,1,1.0
12,8,2,1.0
12,8,3,1.0
12,8,4,1.0
12,8,5,1.0
12,8,6,1.0
12,8,7,1.0
12,8,9,1.0
12,9,0,1.0
12,9,1,1.0
12,9,2,1.0
12,9,3,1.0
12,9,4,1.0
12,9,5,1.0
12,9,6,1.0
12,9,7,0.0015329121559149764
12,9,8,1.0
13,2,0,1.0
13,2,1,1.0
13,2,3,1.0
13,2,4,1.0
13,2,5,1.0
13,2,6,1.0
13,2,7,0.017202186852685344
13,2,8,1.0
13,2,9,1.0
13,3,0,1.0
13,3,1,1.0
13,3,2,1.0
13,3,4,1.0
13,3,5,1.0
13,3,6,1.0
13,3,7,0.017310891558926546
13,3,8,1.0
13,3,9,1.0
13,5,0,0.07879538686528516
13,5,1,1.0
13,5,2,1.0
13,5,3,1.0
13,5,4,1.0
13,5,6,1.0
13,5,7,1.0
13,5,8,1.0
13,5,9,1.0
13,6,0,0.7882079862396087
13,6,1,1.0
13,6,2,1.0
13,6,3,1.0
13,6,4,1.0
13,6,5,1.0
13,6,7,1.0
13,6,8,1.0
13,6,9,1.0
13,7,0,0.7824726239292165
13,7,1,1.0
13,7,2,1.0
13,7,3,1.0
13,7,4,1.0
13,7,5,1.0
13,7,6,1.0
13,7,8,1.0
13,7,9,1.0
13,8,0,1.0
13,8,1,1.0
13,8,2,1.0
13,8,3,1.0
13,8,4,1.0
13,8,5,1.0
13,8,6,1.0
13,8,7,1.0
13,8,9,1.0
13,9,0,1.0
13,9,1,1.0
13,9,2,1.0
13,9,3,1.0
13,9,4,1.0
13,9,5,1.0
13,9,6,1.0
13,9,7,0.00015329121559149765
13,9,8,1.0
14,2,0,1.0
14,2,1,1.0
14,2,3,1.0
14,2,4,1.0
14,2,5,1.0
14,2,6,1.0
14,2,7,0.037029418763845474
14,2,8,1.0
14,2,9,1.0
14,3,0,1.0
14,3,1,1.0
14,3,2,1.0
14,3,4,1.0
14,3,5,1.0
14,3,6,1.0
14,3,7,0.03713702692052513
14,3,8,1.0
14,3,9,1.0
14,5,0,0.09799126781026621
14,5,1,1.0
14,5,2,1.0
14,5,3,1.0
14,5,4,1.0
14,5,6,1.0
14,5,7,1.0
14,5,8,1.0
14,5,9,1.0
14,6,0,0.1500545616792632
14,6,1,1.0
14,6,2,1.0
14,6,3,1.0
14,6,4,1.0
14,6,5,1.0
14,6,7,1.0
14,6,8,1.0
14,6,9,1.0
14,7,0,0.14879599833763688
14,7,1,1.0
14,7,2,1.0
14,7,3,1.0
14,7,4,1.0
14,7,5,1.0
14,7,6,1.0
14,7,8,1.0
14,7,9,1.0
14,8,0,1.0
14,8,1,1.0
14,8,2,1.0
14,8,3,1.0
14,8,4,1.0
14,8,5,1.0
14,8,6,1.0
14,8,7,1.0
14,8,9,1.0
14,9,0,1.0
14,9,1,1.0
14,9,2,1.0
14,9,3,1.0
14,9,4,1.0
14,9,5,1.0
14,9,6,1.0
14,9,7,1.5329121559149765e-05
14,9,8,1.0
15,2,0,1.0
15,2,1,1.0
15,2,3,1.0
15,2,4,1.0
15,2,5,1.0
15,2,6,1.0
15,2,7,0.05665563165616025
15,2,8,1.0
15,2,9,1.0
15,3,0,1.0
15,3,1,1.0
15,3,2,1.0
15,3,4,1.0
15,3,5,1.0
15,3,6,1.0
15,3,7,0.05676214320634088
15,3,8,1.0
15,3,9,1.0
15,5,0,0.11698609586623698
15,5,1,1.0
15,5,2,1.0
15,5,3,1.0
15,5,4,1.0
15,5,6,1.0
15,5,7,1.0
15,5,8,1.0
15,5,9,1.0
15,6,0,0.16849305877984858
15,6,1,1.0
15,6,2,1.0
15,6,3,1.0
15,6,4,1.0
15,6,5,1.0
15,6,7,1.0
15,6,8,1.0
15,6,9,1.0
15,7,0,0.1672481418625758
15,7,1,1.0
15,7,2,1.0
15,7,3,1.0
15,7,4,1.0
15,7,5,1.0
15,7,6,1.0
15,7,8,1.0
15,7,9,1.0
15,8,0,1.0
15,8,1,1.0
15,8,2,1.0
15,8,3,1.0
15,8,4,1.0
15,8,5,1.0
15,8,6,1.0
15,8,7,1.0
15,8,9,1.0
15,9,0,1.0
15,9,1,1.0
15,9,2,1.0
15,9,3,1.0
15,9,4,1.0
15,9,5,1.0
15,9,6,1.0
15,9,7,0.020015175829756118
15,9,8,1.0
16,2,0,1.0
16,2,1,1.0
16,2,3,1.0
16,2,4,1.0
16,2,5,1.0
16,2,6,1.0
16,2,7,0.07608081498444666
16,2,8,1.0
16,2,9,1.0
16,3,0,1.0
16,3,1,1.0
16,3,2,1.0
16,3,4,1.0
16,3,5,1.0
16,3,6,1.0
16,3,7,0.0761862298700032
16,3,8,1.0
16,3,9,1.0
16,5,0,0.13577985976955093
16,5,1,1.0
16,5,2,1.0
16,5,3,1.0
16,5,4,1.0
16,5,6,1.0
16,5,7,1.0
16,5,8,1.0
16,5,9,1.0
16,6,0,0.18673045926588444
16,6,1,1.0
16,6,2,1.0
16,6,3,1.0
16,6,4,1.0
16,6,5,1.0
16,6,7,1.0
16,6,8,1.0
16,6,9,1.0
16,7,0,0.18549918959291092
16,7,1,1.0
16,7,2,1.0
16,7,3,1.0
16,7,4,1.0
16,7,5,1.0
16,7,6,1.0
16,7,8,1.0
16,7,9,1.0
16,8,0,1.0
16,8,1,1.0
16,8,2,1.0
16,8,3,1.0
16,8,4,1.0
16,8,5,1.0
16,8,6,1.0
16,8,7,1.0
16,8,9,1.0
16,9,0,1.0
16,9,1,1.0
16,9,2,1.0
16,9,3,1.0
16,9,4,1.0
16,9,5,1.0
16,9,6,1.0
16,9,7,0.0020015175829756118
16,9,8,1.0
17,2,0,1.0
17,2,1,1.0
17,2,3,1.0
17,2,4,1.0
17,2,5,1.0
17,2,6,1.0
17,2,7,0.09530495798241206
17,2,8,1.0
17,2,9,1.0
17,3,0,1.0
17,3,1,1.0
17,3,2,1.0
17,3,4,1.0
17,3,5,1.0
17,3,6,1.0
17,3,7,0.0954092761439942
17,3,8,1.0
17,3,9,1.0
17,5,0,0.15437254801230324
17,5,1,1.0
17,5,2,1.0
17,5,3,1.0
17,5,4,1.0
17,5,6,1.0
17,5,7,1.0
17,5,8,1.0
17,5,9,1.0
17,6,0,0.2047667509106114
17,6,1,1.0
17,6,2,1.0
17,6,3,1.0
17,6,4,1.0
17,6,5,1.0
17,6,7,1.0
17,6,8,1.0
17,6,9,1.0
17,7,0,0.2035491293203127
17,7,1,1.0
17,7,2,1.0
17,7,3,1.0
17,7,4,1.0
17,7,5,1.0
17,7,6,1.0
17,7,8,1.0
17,7,9,1.0
17,8,0,1.0
17,8,1,1.0
17,8,2,1.0
17,8,3,1.0
17,8,4,1.0
17,8,5,1.0
17,8,6,1.0
17,8,7,1.0
17,8,9,1.0
17,9,0,1.0
17,9,1,1.0
17,9,2,1.0
17,9,3,1.0
17,9,4,1.0
17,9,5,1.0
17,9,6,1.0
17,9,7,0.021981492381928952
17,9,8,1.0
18,2,0,1.0
18,2,1,1.0
18,2,3,1.0
18,2,4,1.0
18,2,5,1.0
18,2,6,1.0
18,2,7,0.11432804965561376
18,2,8,1.0
18,2,9,1.0
18,3,0,1.0
18,3,1,1.0
18,3,2,1.0
18,3,4,1.0
18,3,5,1.0
18,3,6,1.0
18,3,7,0.11443127103260678
18,3,8,1.0
18,3,9,1.0
18,5,0,0.1727641488342839
18,5,1,1.0
18,5,2,1.0
18,5,3,1.0
18,5,4,1.0
18,5,6,1.0
18,5,7,1.0
18,5,8,1.0
18,5,9,1.0
18,6,0,0.2226019212107727
18,6,1,1.0
18,6,2,1.0
18,6,3,1.0
18,6,4,1.0
18,6,5,1.0
18,6,7,1.0
18,6,8,1.0
18,6,9,1.0
18,7,0,0.2213979485605839
18,7,1,1.0
18,7,2,1.0
18,7,3,1.0
18,7,4,1.0
18,7,5,1.0
18,7,6,1.0
18,7,8,1.0
18,7,9,1.0
18,8,0,1.0
18,8,1,1.0
18,8,2,1.0
18,8,3,1.0
18,8,4,1.0
18,8,5,1.0
18,8,6,1.0
18,8,7,1.0
18,8,9,1.0
18,9,0,1.0
18,9,1,1.0
18,9,2,1.0
18,9,3,1.0
18,9,4,1.0
18,9,5,1.0
18,9,6,1.0
18,9,7,0.04176045603140334
18,9,8,1.0
19,2,0,1.0
19,2,1,1.0
19,2,3,1.0
19,2,4,1.0
19,2,5,1.0
19,2,6,1.0
19,2,7,0.13315007877411625
19,2,8,1.0
19,2,9,1.0
19,3,0,1.0
19,3,1,1.0
19,3,2,1.0
19,3,4,1.0
19,3,5,1.0
19,3,6,1.0
19,3,7,0.13325220330460005
19,3,8,1.0
19,3,9,1.0
19,5,0,0.19095465021457264
19,5,1,1.0
19,5,2,1.0
19,5,3,1.0
19,5,4,1.0
19,5,6,1.0
19,5,7,1.0
19,5,8,1.0
19,5,9,1.0
19,6,0,0.24023595737711
19,6,1,1.0
19,6,2,1.0
19,6,3,1.0
19,6,4,1.0
19,6,5,1.0
19,6,7,1.0
19,6,8,1.0
19,6,9,1.0
19,7,0,0.23904563454418432
19,7,1,1.0
19,7,2,1.0
19,7,3,1.0
19,7,4,1.0
19,7,5,1.0
19,7,6,1.0
19,7,8,1.0
19,7,9,1.0
19,8,0,1.0
19,8,1,1.0
19,8,2,1.0
19,8,3,1.0
19,8,4,1.0
19,8,5,1.0
19,8,6,1.0
19,8,7,1.0
19,8,9,1.0
19,9,0,1.0
19,9,1,1.0
19,9,2,1.0
19,9,3,1.0
19,9,4,1.0
19,9,5,1.0
19,9,6,1.0
19,9,7,0.061338398149701656
19,9,8,1.0
20,2,0,1.0
20,2,1,1.0
20,2,3,1.0
20,2,4,1.0
20,2,5,1.0
20,2,6,1.0
20,2,7,0.15177103386482935
20,2,8,1.0
20,2,9,1.0
20,3,0,1.0
20,3,1,1.0
20,3,2,1.0
20,3,4,1.0
20,3,5,1.0
20,3,6,1.0
20,3,7,0.1518720614855358
20,3,8,1.0
20,3,9,1.0
20,5,0,0.20894403986275614
20,5,1,1.0
20,5,2,1.0
20,5,3,1.0
20,5,4,1.0
20,5,6,1.0
20,5,7,1.0
20,5,8,1.0
20,5,9,1.0
20,6,0,0.25766884632441756
20,6,1,1.0
20,6,2,1.0
20,6,3,1.0
20,6,4,1.0
20,6,5,1.0
20,6,7,1.0
20,6,8,1.0
20,6,9,1.0
20,7,0,0.2564921742063158
20,7,1,1.0
20,7,2,1.0
20,7,3,1.0
20,7,4,1.0
20,7,5,1.0
20,7,6,1.0
20,7,8,1.0
20,7,9,1.0
20,8,0,1.0
20,8,1,1.0
20,8,2,1.0
20,8,3,1.0
20,8,4,1.0
20,8,5,1.0
20,8,6,1.0
20,8,7,1.0
20,8,9,1.0
20,9,0,1.0
20,9,1,1.0
20,9,2,1.0
20,9,3,1.0
20,9,4,1.0
20,9,5,1.0
20,9,6,1.0
20,9,7,0.08071530813917419
20,9,8,1.0
21,2,0,0.9496946720414612
21,2,1,1.0
21,2,3,1.0
21,2,4,1.0
21,2,5,1.0
21,2,6,1.0
21,2,7,0.17019090320351005
21,2,8,1.0
21,2,9,1.0
21,3,0,0.9496946720414612
21,3,1,1.0
21,3,2,1.0
21,3,4,1.0
21,3,5,1.0
21,3,6,1.0
21,3,7,0.1702908338497784
21,3,8,1.0
21,3,9,1.0
21,5,0,0.020894403986275616
21,5,1,1.0
21,5,2,1.0
21,5,3,1.0
21,5,4,1.0
21,5,6,1.0
21,5,7,1.0
21,5,8,1.0
21,5,9,1.0
21,6,0,0.027189636722818825
21,6,1,1.0
21,6,2,1.0
21,6,3,1.0
21,6,4,1.0
21,6,5,1.0
21,6,7,1.0
21,6,8,1.0
21,6,9,1.0
21,7,0,0.027065472362674273
21,7,1,1.0
21,7,2,1.0
21,7,3,1.0
21,7,4,1.0
21,7,5,1.0
21,7,6,1.0
21,7,8,1.0
21,7,9,1.0
21,8,0,0.9496946720414612
21,8,1,1.0
21,8,2,1.0
21,8,3,1.0
21,8,4,1.0
21,8,5,1.0
21,8,6,1.0
21,8,7,1.0
21,8,9,1.0
21,9,0,0.9496946720414612
21,9,1,1.0
21,9,2,1.0
21,9,3,1.0
21,9,4,1.0
21,9,5,1.0
21,9,6,1.0
21,9,7,0.09989117517939772
21,9,8,1.0
22,2,0,0.9541804418955013
22,2,1,1.0
22,2,3,1.0
22,2,4,1.0
22,2,5,1.0
22,2,6,1.0
22,2,7,0.18840967480640897
22,2,8,1.0
22,2,9,1.0
22,3,0,0.9541804418955013
22,3,1,1.0
22,3,2,1.0
22,3,4,1.0
22,3,5,1.0
22,3,6,1.0
22,3,7,0.18850850841213923
22,3,8,1.0
22,3,9,1.0
